Episode no = 1770; won: False; Q(s,a) = 94.96159922387353; reward = -415.0; and epsilon = 0.764, win percentage = 0.0, 2022-05-01 08:57:52
Episode no = 1780; won: False; Q(s,a) = 105.05001657340951; reward = -492.0; and epsilon = 0.7626666666666666, win percentage = 0.0, 2022-05-01 08:58:08
Episode no = 1790; won: False; Q(s,a) = 104.68336798170809; reward = -468.0; and epsilon = 0.7613333333333333, win percentage = 0.0, 2022-05-01 08:58:21
Episode no = 1800; won: False; Q(s,a) = 95.96053561887123; reward = -444.0; and epsilon = 0.76, win percentage = 0.0, 2022-05-01 08:58:36
Episode no = 1810; won: False; Q(s,a) = 108.74951673917121; reward = -312.0; and epsilon = 0.7586666666666666, win percentage = 0.0, 2022-05-01 08:58:55
Episode no = 1820; won: False; Q(s,a) = 104.59567049459248; reward = -258.0; and epsilon = 0.7573333333333333, win percentage = 0.0, 2022-05-01 08:59:19
Episode no = 1830; won: False; Q(s,a) = 133.03823315075513; reward = -472.0; and epsilon = 0.756, win percentage = 0.0, 2022-05-01 08:59:40
Episode no = 1840; won: False; Q(s,a) = 111.71793303725016; reward = -386.0; and epsilon = 0.7546666666666667, win percentage = 0.0, 2022-05-01 09:00:02
Episode no = 1850; won: False; Q(s,a) = 101.88073955480058; reward = -423.0; and epsilon = 0.7533333333333333, win percentage = 0.0, 2022-05-01 09:00:19
Episode no = 1860; won: False; Q(s,a) = 103.84344134774018; reward = -448.0; and epsilon = 0.752, win percentage = 0.0, 2022-05-01 09:00:39
